id	custom	data	prompt	maxlength	required	list
49	HB1582	DATA3	Second Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
50	HB1582	DATA4	Third Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
51	HB1582	DATA5	Fourth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
52	HB1582	DATA6	Fifth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
53	HB1582	DATA7	Sixth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
54	HB1582	DATA8	Seventh Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
55	HB1592	DATA1	Mothers Birth Month (in 2-digit form - ex. 08 is August)	2	1	
56	HB1592	DATA2	First Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
57	HB1592	DATA3	Second Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
58	HB1592	DATA4	Third Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
59	HB1592	DATA5	Fourth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
60	HB1592	DATA6	Fifth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
61	HB1592	DATA7	Sixth Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
62	HB1592	DATA8	Seventh Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
63	HB4112	DATA1	1st Name or Initials (Up To 10 Characters)	10	1	
64	HB4112	DATA2	2nd Name or Initials (Up To 10 Characters)	10		
65	HB4842	DATA1	Name - Enter All Capital Letters Only (Up To 14 Characters)-The word Tavern comes standard.	14	1	
66	HB4852	DATA1	Name - Enter All Capital Letters Only (Up To 14 Characters)-The word Tavern comes standard in the de	14	1	
67	HB6892	DATA1	Specify Boy or Girl	4	1	
68	HB6892	DATA2	Child's First Name	15		
69	HB6892	DATA3	Child's Middle Name	10		
70	HB6892	DATA4	Child's Last Name	15		
71	HB6892	DATA5	Child's Birthdate (mm/dd/yy)	8		
72	HB8152-SL	DATA1	Line 1	8	1	
73	HB8152-PL	DATA1	Line 1	8	1	
74	HB8162-SL	DATA1	Line 1	8	1	
75	HB8162-SL	DATA2	Line 2	8		
76	HB8162-PL	DATA1	Line 1	8	1	
77	HB8162-PL	DATA2	Line 2	8		
78	HB8172-SL	DATA1	Line 1	8	1	
79	HB8172-SL	DATA2	Line 2	8		
80	HB8172-SL	DATA3	Line 3	8		
81	HB8172-PL	DATA1	Line 1	8	1	
82	HB8172-PL	DATA2	Line 2	8		
83	HB8172-PL	DATA3	Line 3	8		
84	HB8102	DATA1	01-12 Month Number	2	1	
85	HB8102	DATA2	01-31 Date	2	1	
86	HB8102	DATA3	Year (1888-2008 Only)	4	1	
87	HC4092	DATA1	5-Digit Zip Code for Longitude/Latitude calculation	5	1	
88	HC5522	DATA1	Line 1	40	1	
89	HC5522	DATA2	Line 2	40		
90	HC5532	DATA1	Line 1 (40 characters)	40	1	
91	HC5532	DATA2	Line 2 (40 characters)	40		
92	HC6242	DATA1	Line 1 (18 characters) MUST enter personalization.	18	1	
93	HC6512	DATA1	Monogram Letter	1	1	
94	HC6842	DATA1	Line 1 (12 characters)	12	1	
95	HC6852	DATA1	Line 1 (12 characters)	12	1	
96	HC6852	DATA2	Line 2 (17 characters)	17		
97	PH0412	DATA1	Name of School/Year of Graduation	50	1	
98	PH0412	DATA2	Person's Name	40		
99	HC8502	DATA1	Stone Message 1 (16 upper case characters - include 'In Memory Of' if desired.)	16	1	
100	HC8502	DATA2	Stone Message 2 (16 upper case characters - no text is included unless specified).	16		
101	HC9212	DATA1	Message Line 1 (18 Mixed Case Characters)	18	1	
102	HC9212	DATA2	Message Line 2 (18 Mixed Case Characters)	18		
103	HC9212	DATA3	Message Line 3 (18 Mixed Case Characters)	18		
104	HC9212	DATA4	Message Line 4 (18 Mixed Case Characters)	18		
105	HC9212	DATA5	Message Line 5 (18 Mixed Case Characters)	18		
106	HC9212	DATA6	Message Line 6 (18 Mixed Case Characters)	18		
107	HD2822	DATA1	Message Line 1 (18 Mixed Case Characters)	18	1	
108	HD2822	DATA2	Message Line 2 (18 Mixed Case Characters)	18		
109	HD2822	DATA3	Message Line 3 (18 Mixed Case Characters)	18		
110	HD2822	DATA4	Message Line 4 (18 Mixed Case Characters)	18		
111	HD2822	DATA5	Message Line 5 (18 Mixed Case Characters)	18		
112	HD2822	DATA6	Message Line 6 (18 Mixed Case Characters)	18		
113	HD0452S	DATA1	5-Digit Zip Code for Longitude/Latitude calculation	15	1	
114	HD0452T	DATA1	5-Digit Zip Code for Longitude/Latitude calculation	15	1	
115	HD1902S	DATA1	5-Digit Zip Code for Longitude/Latitude calculation	15	1	
116	HD1902T	DATA1	5-Digit Zip Code for Longitude/Latitude calculation	15	1	
117	HC9902	DATA1	Text (8 Uppercase Letters or Numbers)	8	1	
118	HD5332	DATA1	Name	14	1	
119	HD5442	DATA1	Street Number and Street Name (req.)	30	1	
120	HD5442	DATA2	City (req.)	30	1	
121	HD5442	DATA3	State (2 character abbreviation req.)	2	1	
122	HD5442	DATA4	Zip (5 digit) or Postal Code (9 digit) (req.)	9	1	
123	HD5442	DATA5	Country (US or CA - 2 characters req.)	2	1	
124	HD4092	DATA1	50 Proper (Mixed) Case Letters	50	1	
125	HD4102	DATA1	50 Proper (Mixed) Case Letters	50	1	
126	HD4831	DATA1	Family Name	12	1	
127	HD4831	DATA2	Version Number	3		
128	AV3211L	DATA1	Line 1	22	1	
129	AV3211L	DATA2	Line 2	22		
130	AV3211T	DATA1	Line 1	22	1	
131	AV3211T	DATA2	Line 2	22		
132	HD7502	DATA1	Name	12	1	
133	HD6512	DATA1	Baby's First Name	16	1	
134	HD6512	DATA2	Birth Weight (lb. and oz.)	16		
135	HD6512	DATA3	Birth Date (Month/Date/Year)	16		
136	HD6512	DATA4	Exact Time Of Birth (Hour/Minute/AM or PM)	16		
137	HD6522	DATA1	Baby's Name	16	1	
138	HD6522	DATA2	Birth Weight (lb. and oz.)	16		
139	HD6522	DATA3	Birth Date (Month/Date/Year)	16		
140	HD6522	DATA4	Exact Time Of Birth (Hour/Minute/AM or PM)	16		
141	HD9802	DATA1	Name	18	1	
142	HD7282	DATA1	Line 1 (5 or less characters for large letters) ALL CAPS PLEASE	5	1	
143	HD7282	DATA2	16 Smaller Characters (ex. Street Name) ALL CAPS PLEASE	16		
144	HD7292	DATA1	5 Large Characters (ex. Street Number)	5	1	
145	HD7292	DATA2	14 Smaller Characters (ex. Street Name) ALL CAPS PLEASE	14		
146	HD6492	DATA1	Name	15	1	
147	HD8322	DATA1	Name ALL CAPS PLEASE	12	1	
148	VE8662-3	DATA1	Line 1 (3 Characters)	3	1	
149	VE8662-4	DATA1	Line 1 (4 Characters)	4	1	
150	VE8662-5	DATA1	Line 1 (5 Characters)	5	1	
151	VE8662-6	DATA1	Line 1 (6 Characters)	6	1	
152	VE8662-7	DATA1	Line 1 (7 Characters)	7	1	
153	VE8662-8	DATA1	Line 1 (8 Characters)	8	1	
154	VE8662-9	DATA1	Line 1 (9 Characters)	9	1	
155	VE8662-10	DATA1	Line 1 (10 Characters)	10	1	
156	HE5732	DATA1	Name (14 Characters - Please precede name with 'Dr.')	14	1	
157	HE4782	DATA1	Name (Up to 12 Mixed Case Characters)	12	1	
158	HE4782	DATA2	MM/DD/YYYY (Date)	10		
159	HE7532-AB	DATA1	First Birthstone Month (2 Digit Month)	2	1	
160	HE7532-AB	DATA2	Second Birthstone Month (2 Digit Month)	2	1	
161	HE7532-AB	DATA3	Third Birthstone Month (2 Digit Month)	2		
162	HE7532-AB	DATA4	Fourth Birthstone Month (2 Digit Month)	2		
163	HE7532-AB	DATA5	Fifth Birthstone Month (2 Digit Month)	2		
164	HE7532-AB	DATA6	Sixth Birthstone Month (2 Digit Month)	2		
165	HE7532-AB	DATA7	Seventh Birthstone Month (2 Digit Month)	2		
166	HE7532-AB	DATA8	Eighth Birthstone Month (2 Digit Month)	2		
167	HE7532-AB	DATA9	Ninth Birthstone Month (2 Digit Month)	2		
168	HE7532-AB	DATA10	Tenth Birthstone (2 Digit Month)	2		
169	HE7532-AR	DATA1	First Birthstone Month (2 Digit Month)	2	1	
170	HE7532-AR	DATA2	Second Birthstone Month (2 Digit Month)	2	1	
171	HE7532-AR	DATA3	Third Birthstone Month (2 Digit Month)	2		
172	HE7532-AR	DATA4	Fourth Birthstone Month (2 Digit Month)	2		
173	HE7532-AR	DATA5	Fifth Birthstone Month (2 Digit Month)	2		
174	HE7532-AR	DATA6	Sixth Birthstone Month (2 Digit Month)	2		
175	HE7532-AR	DATA7	Seventh Birthstone Month (2 Digit Month)	2		
176	HE7532-AR	DATA8	Eighth Birthstone Month (2 Digit Month)	2		
177	HE7532-AR	DATA9	Ninth Birthstone Month (2 Digit Month)	2		
178	HE7532-AR	DATA10	Tenth Birthstone (2 Digit Month)	2		
179	HE6532	DATA1	Name (13 Mixed Characters - just name - 'The' & 'Family' already appear)	13	1	
180	HE6532	DATA2	Family Est. Date (4 Digit Year)	4		
181	HE8772	DATA1	50 Proper (Mixed) Case Letters	50	1	
182	HE8922	DATA1	Name (up to 12 characters)	12	1	
183	HE9362	DATA1	Name (up to 22 characters)	22	1	
184	HE9362	DATA2	Date (mm/dd/yyyy)	22	1	
185	HE9802	DATA1	Headline (up to 30 characters w/spaces)	30	1	
186	HE9811L	DATA1	Headline (up to 30 characters w/spaces)	30	1	
187	HE9811T	DATA1	Headline (up to 30 characters w/spaces)	30	1	
188	HE9862	DATA1	Name (up to 26 characters w/spaces)	26	1	
189	HE9862	DATA2	Birthday (mm/dd/yyyy)	16	1	
190	HE9972	DATA1	Name (up to 30 characters)	30	1	
191	HE9992	DATA1	Name (up to 8 characters)	8	1	
192	HF1052	DATA1	Name (up to 17 characters) ALL CAPS PLEASE	17	1	
193	HF1062	DATA1	Type the word 'The'	3	1	
194	HF1062	DATA2	Name plus apostrophe S	14		
195	HF1862	DATA1	50 Proper (Mixed) Case Letters	50	1	
196	HF2422-A	DATA1	Name1 (up to 10 characters each)	10	1	
197	HF2422-A	DATA2	Name2 (up to 10 characters each)	10		
198	HF2422-A	DATA3	Name3 (up to 10 characters each)	10		
199	HF2422-B	DATA1	Name1 (up to 10 characters each)	10	1	
200	HF2422-B	DATA2	Name2 (up to 10 characters each)	10	1	
201	HF2422-B	DATA3	Name3 (up to 10 characters each)	10	1	
202	HF2422-B	DATA4	Name4 (up to 10 characters each)	10	1	
203	HF2422-B	DATA5	Name5 (up to 10 characters each)	10		
204	HF2422-B	DATA6	Name6 (up to 10 characters each)	10		
205	VE5732	DATA1	Name (up to 15 characters)	15	1	
206	VF2731L	DATA1	Name (up to 15 characters)	15	1	
207	VF2731T	DATA1	Name (up to 15 characters)	15	1	
208	HF3752	DATA1	Name1 (up to 10 characters)	10	1	
209	HF3752	DATA2	Name2 (up to 10 characters)	10	1	
210	AX1092	DATA1	Name 1 (up to 10 characters)	10	1	
211	AX1092	DATA2	Name 2 (up to 10 characters)	10	1	
212	AX1092	DATA3	First Child Name (up to 10 Characters)	10		
213	AX1092	DATA4	Second Child Name (up to 10 Characters)	10		
214	AX1092	DATA5	Third Child Name (up to 10 Characters)	10		
215	AX1092	DATA6	Fourth Child Name (up to 10 Characters)	10		
216	AX1092	DATA7	Fifth Child Name (up to 10 Characters)	10		
217	AX1092	DATA8	Sixth Child Name (up to 10 Characters)	10		
218	AX6642	DATA1	Family Name (Up to 12 mixed case letters)	12	1	
219	AX6642	DATA2	First Name Of Person 1 (up to 10 mixed case letters)	10	1	
220	AX6642	DATA3	First Name Of Person 2 (up to 10 mixed case letters)	10		
221	AX6642	DATA4	First Name Of Person 3 (up to 10 mixed case letters)	10		
222	AX6642	DATA5	First Name Of Person 4 (up to 10 mixed case letters)	10		
223	AX6642	DATA6	First Name Of Person 5 (up to 10 mixed case letters)	10		
224	AX6642	DATA7	First Name Of Person 6 (up to 10 mixed case letters)	10		
225	HF5962	DATA1	Name (up to 18 characters including spaces)	18	1	
226	HF5952	DATA1	Name (up to 18 characters including spaces)	18	1	
227	HF4272	DATA1	Dog's name (up to 10 characters)	10	1	
228	HF4262	DATA1	Name (up to 10 characters)	10	1	
229	HF3152	DATA1	Name (up to 10 characters)	10	1	
230	AW5822	DATA1	Your message line 1	10	1	
231	AW5822	DATA2	Your message line 2	10		
232	AL7872	DATA1	Name	12	1	
233	AR9582	DATA1	Name	12	1	
234	AR9642	DATA1	Name	14	1	
235	VD0142	DATA1	Line 1 ( 17 characters) ALL CAPS PLEASE	17	1	
236	VD0142	DATA2	Line 2 ( 17 characters) ALL CAPS PLEASE	17		
237	VD2192	DATA1	Characters (28-All Capital Letters)	28	1	
238	VD5132	DATA1	Name 1 Field (10 mixed case characters)	10	1	
239	VD5132	DATA2	Name 2 Field (10 mixed case characters)	10		
240	VD5142	DATA1	Name or Initial Line 1-(10 characters-Mixed Case)	10	1	
241	VD5142	DATA2	Name or Initial Line 2-(10 characters-Mixed Case)	10		
242	VD7062	DATA1	Message-(20 characters-Mixed Case)	20	1	
243	VE8552	DATA1	Name-(55 Mixed Case Characters)	55	1	
244	VE8882	DATA1	Line 1 ALL CAPS PLEASE	12	1	
245	VE8882	DATA2	Line 2 ALL CAPS PLEASE	12		
246	VF0352	DATA1	Name 1 (9 Mixed Case Characters)	9	1	
247	VF0352	DATA2	Name 2 (9 Mixed Case Characters)	9		
248	VF0352	DATA3	Wedding Date-(55 Mixed Case Characters)	55		
249	HF5342	DATA1	Name or message (up to 20 characters; please include 'The' with family name)	20	1	
250	HF9422	DATA1	Heart Inscription (3 characters)	3	1	
251	HF9422	DATA2	Date (up to 13 characters including punctuation & spaces)	13	1	
252	HF7802	DATA1	Godchild's name (up to 15 characters)	15	1	
253	HF2912	DATA1	Godparent's name (up to 20 characters)	20	1	
254	HF2912	DATA2	Godchild's name (up to 20 characters)	20	1	
255	CA4382	DATA1	First Name (up to 15 characters)	15	1	
256	CA4382	DATA2	Last Name (up to 15 characters)	15	1	
257	CA4382	DATA3	Birth Date (15 character limit; Month/Date/Year EX&#58; June 10)	15	1	
258	CA4372	DATA1	First Name (up to 15 characters)	15	1	
259	CA4372	DATA2	Middle Name (up to 15 characters)	15	1	
260	CA4372	DATA3	Last Name (up to 15 characters)	15	1	
261	CA4372	DATA4	Birth Date (15 character limit; Month/Date/Year EX&#58; June 10)	15	1	
262	CA4362	DATA1	First Name (up to 15 characters)	15	1	
263	CA4362	DATA2	Last Name (up to 15 characters)	15	1	
264	CA4362	DATA3	Birth Date (15 character limit; Month/Date/Year EX&#58; June 10)	15	1	
265	CA4392	DATA1	First Name (up to 15 characters)	15	1	
266	CA4392	DATA2	Middle Name (up to 15 characters)	15	1	
267	CA4392	DATA3	Last Name (up to 15 characters)	15	1	
268	CA4392	DATA4	Birth Date (15 character limit; Month/Date/Year EX&#58; June 10)	15	1	
269	HF7492	DATA1	Family Name (up to 12 characters)	12	1	
270	HF7492	DATA2	Role 1 (up to 10 characters)	10		
271	HF7492	DATA3	Name 1 (up to 12 characters)	12		
272	HF7492	DATA4	Role 2 (up to 10 characters)	10		
273	HF7492	DATA5	Name 2 (up to 12 characters)	12		
274	HF7492	DATA6	Role 3 (up to 10 characters)	10		
275	HF7492	DATA7	Name 3 (up to 12 characters)	12		
276	HF7492	DATA8	Role 4 (up to 10 characters)	10		
277	HF7492	DATA9	Name 4 (up to 12 characters)	12		
278	HF7492	DATA10	Role 5 (up to 10 characters)	10		
279	HF7492	DATA11	Name 5 (up to 12 characters)	12		
280	HF7062	DATA1	Line 1 (up to 16 characters including spaces) ALL CAPS PLEASE	16	1	
281	HF7062	DATA2	Line 2 (up to 16 characters including spaces) ALL CAPS PLEASE	16		
282	HF7072	DATA1	Line 1 (up to 12 characters) ALL CAPS PLEASE	12	1	
283	HF7072	DATA2	Line 2 (up to 12 characters) ALL CAPS PLEASE	12		
284	HC5101L	DATA1	Web address (up to 30 characters)	30	1	
285	HC5101T	DATA1	Web address (up to 30 characters)	30	1	
286	VC3762	DATA1	Name (15 Characters - Upper and Lower Case Letters Acceptable)	15	1	
287	VE5012	DATA1	Name-(8-characters-All Capital Letters)	8	1	
288	VE5012	DATA2	Date (6 digits mmddyy)	6		
289	VD7792	DATA1	Team Name-(55 characters-Mixed Case)	55	1	
290	VD7792	DATA2	First Name-(55 characters-Mixed Case)	55		
291	HG4712	DATA1	Name (up to 18 characters including spaces)	18	1	
292	HG4602	DATA1	Name (up to 10 characters including punctuation)	10	1	
293	HG2462	DATA1	Name (up to 12 characters including apostrophe)	12	1	
294	HG2462	DATA2	Date (EX&#58; 1992)	4	1	
295	HG4742	DATA1	Family Name (up to 30 characters)	30	1	
296	HG2062	DATA1	Name 1 (up to 10 characters)	10	1	
297	HG2062	DATA2	Name 2 (up to 10 characters)	10	1	
298	HG2062	DATA3	Date (mm-dd-yyyy)	10	1	
299	HG1362	DATA1	Baby's name (up to 20 characters)	20	1	
300	HG1362	DATA2	City & State (up to 20 characters)	20	1	
301	HG1362	DATA3	Birth Weight (lb. and oz.)	8	1	
302	HG1362	DATA4	Birth Date (mmddyyyy)	8	1	
303	HG1362	DATA5	Birth Time (up to 7 characters EX&#58; 12&#58;32am)	7	1	
304	HG1372	DATA1	Baby's name (up to 20 characters)	20	1	
305	HG1372	DATA2	City & State (up to 20 characters)	20	1	
306	HG1372	DATA3	Birth Weight (lb. and oz.)	8	1	
307	HG1372	DATA4	Birth Date (mmddyyyy)	8	1	
308	HG1372	DATA5	Birth Time (up to 7 characters EX&#58; 12&#58;32am)	7	1	
309	HG5612	DATA1	Word 'The' or message (20 char.)	20	1	
310	HG5612	DATA2	Family name (up to 20 characters)	20	1	
311	HG5612	DATA3	Word 'Family' or message (20 char)	20	1	
312	HG2962	DATA1	Zip Code (5 digit zip)	5	1	
313	HG4732	DATA1	Name (up to 48 characters - include 'Chez' if you want it; it will not be included unless specified)	48	1	
314	HG2142	DATA1	Branch name 1 (up to 10 characters)	10	1	
315	HG2142	DATA2	Branch name 2 (up to 10 characters)	10		
316	HG2142	DATA3	Branch name 3 (up to 10 characters)	10		
317	HG2142	DATA4	Branch name 4 (up to 10 characters)	10		
318	HG2142	DATA5	Branch name 5 (up to 10 characters)	10		
319	HG2142	DATA6	Branch name 6 (up to 10 characters)	10		
320	HG2142	DATA7	Branch name 7 (up to 10 characters)	10		
321	HG2142	DATA8	Branch name 8 (up to 10 characters)	10		
322	HG2142	DATA9	Trunk line 1 (up to 10 characters)	10		
323	HG2142	DATA10	Trunk line 2 (up to 10 characters)	10		
324	HG2142	DATA11	Family name (up to 18 characters)	18		
325	HG5592	DATA1	Branch name 1 (up to 10 characters)	10	1	
326	HG5592	DATA2	Branch name 2 (up to 10 characters)	10		
327	HG5592	DATA3	Branch name 3 (up to 10 characters)	10		
328	HG5592	DATA4	Branch name 4 (up to 10 characters)	10		
329	HG5592	DATA5	Branch name 5 (up to 10 characters)	10		
330	HG5592	DATA6	Branch name 6 (up to 10 characters)	10		
331	HG5592	DATA7	Branch name 7 (up to 10 characters)	10		
332	HG5592	DATA8	Branch name 8 (up to 10 characters)	10		
333	HG5592	DATA9	Trunk line 1 (up to 10 characters)	10		
334	HG5592	DATA10	Trunk line 2 (up to 10 characters)	10		
335	HG5592	DATA11	Family name (up to 18 characters)	18		
336	HG8621BL	DATA1	Endearment (Grandma/Mommy/Nana etc)	12	1	
337	HG8621BL	DATA2	Number (up to 2 characters)	2	1	
338	HG8621GR	DATA1	Endearment (Grandma/Mommy/Nana etc)	12	1	
339	HG8621GR	DATA2	Number (up to 2 characters)	2	1	
340	HG8621PK	DATA1	Endearment (Grandma/Mommy/Nana etc)	12	1	
341	HG8621PK	DATA2	Number (up to 2 characters)	2	1	
342	HG8302	DATA1	Name (up to 14 characters including apostrophe)	14	1	
343	HG6712	DATA1	Family name (up to 12 characters)	12	1	
344	HG7962	DATA1	Name (up to 10 letters)	10	1	
345	HG7972	DATA1	Name (up to 10 letters)	10	1	
346	HG8792	DATA1	Name (up to 12 characters)	12	1	
347	HG8312	DATA1	Name (up to 20 characters including spaces)	20	1	
348	HG8512	DATA1	Name (up to 14 characters including punctuation & spaces)	14	1	
349	HG8522	DATA1	Name (up to 14 characters including punctuation & spaces)	14	1	
350	HG7632	DATA1	Line 1 (up to 10 characters) ALL CAPS PLEASE	10	1	
351	HG7632	DATA2	Line 2 (up to 10 characters) ALL CAPS PLEASE	10		
352	HG8322	DATA1	Endearment (Grandma/Mommy/Nana etc)	11	1	
353	HG8322	DATA2	Names at the bottom line 1 (up to 30 characters)	30	1	
354	HG8322	DATA3	Names at the bottom line 2 (up to 30 characters)	30		
355	HG8322	DATA4	Names at the bottom line 3 (up to 30 characters)	30		
356	HG7292	DATA1	Family name only - 16 characters ('The' is automatically included)	16	1	
357	HG7942	DATA1	Name (up to 15 characters)	15	1	
358	HG7952	DATA1	Name (up to 15 characters)	15	1	
359	HG7622	DATA1	Name (up to 12 characters)	12	1	
360	HG8012	DATA1	Birthstone 1 (name month)	10	1	
361	HG8012	DATA2	Birthstone 2 (name month)	10		
362	HG8012	DATA3	Birthstone 3 (name month)	10		
363	HG8012	DATA4	Birthstone 4 (name month)	10		
364	HG8012	DATA5	Birthstone 5 (name month)	10		
365	HG8012	DATA6	Birthstone 6 (name month)	10		
366	HG8012	DATA7	Birthstone 7 (name month)	10		
367	HG8022	DATA1	Birthstone 1 (name month)	10	1	
368	HG8022	DATA2	Birthstone 2 (name month)	10		
369	HG8022	DATA3	Birthstone 3 (name month)	10		
370	HG8022	DATA4	Birthstone 4 (name month)	10		
371	HG8022	DATA5	Birthstone 5 (name month)	10		
372	HG8022	DATA6	Birthstone 6 (name month)	10		
373	HG8022	DATA7	Birthstone 7 (name month)	10		
374	AR9922	DATA1	Name (max 14 characters)	14	1	
375	HG9422	DATA1	Name or initials (max 22 characters)	22	1	
376	HH2462	DATA1	Letter (one character)	1	1	
377	HH1141	DATA1	Endearment (Dad/Daddy/Uncle/etc.)	12	1	
378	HH1141	DATA2	Number 1-99	2	1	
379	HH1102	DATA1	Country (up to 20 characters)	20	1	
380	HH1102	DATA2	City (up to 20 characters)	20	1	
381	HH3512	DATA1	Line 1 (up to 15 characters) ALL CAPS PLEASE	15	1	
382	HH3512	DATA2	Line 2 (up to 15 characters) ALL CAPS PLEASE	15		
383	HH3042	DATA1	Line 1 (up to 9 characters)	9	1	
384	HH3042	DATA2	Line 2 (up to 9 characters)	9		
385	HG4722	DATA1	Up to 18 characters including spaces & punctuation	18	1	
386	HH5482	DATA1	Family name (up to 13 characters - 'the' & 'family' are already included)	13	1	
387	HH5392	DATA1	Name or sentiment (up to 14 characters)	14	1	
388	HH5042	DATA1	Name (up to 12 characters - 'the' & 'center' are standard and included)	12	1	
389	HH5972	DATA1	Name (up to 12 characters - 'the' & 'center' are standard and included)	12	1	
390	HH5922	DATA1	Name (up to 10 characters)	10	1	
391	HH5452	DATA1	Family Surname (up to 12 characters)	12	1	
392	HH5452	DATA2	Person 1 First Name (up to 10 characters)	10		
393	HH5452	DATA3	Person 2 First Name (up to 10 characters)	10		
394	HH5452	DATA4	Person 3 First Name (up to 10 characters)	10		
395	HH5452	DATA5	Person 4 First Name (up to 10 characters)	10		
396	HH5452	DATA6	Person 5 First Name (up to 10 characters)	10		
397	HH5452	DATA7	Person 6 First Name (up to 10 characters)	10		
398	PH1542	DATA1	Name of school (40 char. max)	40	1	
399	HH7872	DATA1	Number of children (01-99)	2	1	
400	HH7882	DATA1	Title UPPER CASE ONLY (up to 20 characters)	20	1	
401	HH8572	DATA1	Initials (first; middle; last - monogram will position last name initial in the center)	3	1	
402	HH6322	DATA1	Name (include punctuation - up to 12 characters)	12	1	
403	HH8382	DATA1	Baby's name (up to 16 characters)	12	1	
404	HH8382	DATA2	Weight; surname; or time of birth (12 characters)	12	1	
405	HH8382	DATA3	Date of birth - two digit month/day/year (mm/dd/yy)	8	1	
406	HH8552	DATA1	Name (up to 12 characters)	12	1	
407	HH7532	DATA1	Name (up to 12 characters)	12	1	
408	AQ8202	DATA1	Name - up to 12 characters	12	1	
409	HH8382	DATA4	Gender - Boy or Girl (max. 4 characters)	4	1	
410	HH9962	DATA1	Pet name ALL CAPS PLEASE	8	1	
411	HH9962	DATA2	Year of birth & year of passing (YYYY-YYYY no spaces)	9		
412	HH9972	DATA1	Pet name ALL CAPS PLEASE	8	1	
